cbsa,cbsatitle,year,population,rank,top100,metrosize
42340,"Savannah, GA",2018,389494,140,1,Midsized
42540,"Scranton--Wilkes-Barre, PA ",2018,555485,101,1,Large
42660,"Seattle-Tacoma-Bellevue, WA",2018,3939363,15,1,Very Large
43340,"Shreveport-Bossier City, LA",2018,397543,138,1,Midsized
43620,"Sioux Falls, SD ",2018,265653,184,1,Midsized
43780,"South Bend-Mishawaka, IN-MI",2018,322424,156,1,Midsized
43900,"Spartanburg, SC",2018,313888,163,1,Midsized
44060,"Spokane-Spokane Valley, WA",2018,559891,100,1,Large
44140,"Springfield, MA",2018,702724,83,1,Large
44180,"Springfield, MO",2018,466978,116,1,Midsized
41180,"St. Louis, MO-IL",2018,2805465,20,1,Very Large
44700,"Stockton, CA",2018,752660,77,1,Large
45060,"Syracuse, NY",2018,650502,90,1,Large
45220,"Tallahassee, FL",2018,385145,141,1,Midsized
45300,"Tampa-St. Petersburg-Clearwater, FL",2018,3142663,18,1,Very Large
45780,"Toledo, OH",2018,643640,91,1,Large
45940,"Trenton-Princeton, NJ",2018,369811,147,1,Midsized
46060,"Tucson, AZ",2018,1039073,53,1,Very Large
46140,"Tulsa, OK",2018,993797,55,1,Large
46220,"Tuscaloosa, AL",2018,251808,190,1,Midsized
46520,"Urban Honolulu, HI",2018,980080,56,1,Large
46540,"Utica-Rome, NY",2018,291410,168,1,Midsized
46700,"Vallejo, CA ",2018,446610,122,1,Midsized
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",2018,1757029,37,1,Very Large
47300,"Visalia, CA ",2018,465861,117,1,Midsized
47380,"Waco, TX",2018,271942,180,1,Midsized
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2018,6263245,6,1,Very Large
48620,"Wichita, KS",2018,637578,92,1,Large
48900,"Wilmington, NC",2018,294436,167,1,Midsized
49180,"Winston-Salem, NC",2018,671456,87,1,Large
49340,"Worcester, MA-CT",2018,947866,57,1,Large
49420,"Yakima, WA",2018,251446,191,1,Midsized
49620,"York-Hanover, PA",2018,448273,121,1,Midsized
49660,"Youngstown-Warren-Boardman, OH-PA",2018,538952,105,1,Large
